Nombre;Ranking;Puntuacion;Comapanero;Posicion;LugarNacimiento;FechaNacimiento;Altura;Residencia;PartidosJugados;PartidosGanados;PartidosPerdidios;Rendimiento;Racha;2020_PartidosJugados;2020_PartidosGanados;2020_PartidosPerdidios;2020_Rendimiento;2020_Torneos ganados;2020_Finales;2019_PartidosJugados;2019_PartidosGanados;2019_PartidosPerdidios;2019_Rendimiento;2019_Torneos ganados;2019_Finales;2018_PartidosJugados;2018_PartidosGanados;2018_PartidosPerdidios;2018_Rendimiento;2018_Torneos ganados;2018_Finales;2017_PartidosJugados;2017_PartidosGanados;2017_PartidosPerdidios;2017_Rendimiento;2017_Torneos ganados;2017_Finales;2016_PartidosJugados;2016_PartidosGanados;2016_PartidosPerdidios;2016_Rendimiento;2016_Torneos ganados;2016_Finales;2015_PartidosJugados;2015_PartidosGanados;2015_PartidosPerdidios;2015_Rendimiento;2015_Torneos ganados;2015_Finales;2014_PartidosJugados;2014_PartidosGanados;2014_PartidosPerdidios;2014_Rendimiento;2014_Torneos ganados;2014_Finales;2013_PartidosJugados;2013_PartidosGanados;2013_PartidosPerdidios;2013_Rendimiento;2013_Torneos ganados;2013_Finales;Circuito;
Andrés Britos;69;696;Matías Nicoletti;Drive;Bolivar - B.A. - Arg;06/12/1989;1,67;Barcelona;242;136;106;0.5619834710743802;6;14;6;8;0.42857142857142855;0;0;37;21;16;0.5675675675675675;0;0;56;35;21;0.625;0;0;46;24;22;0.5217391304347826;0;0;32;13;19;0.40625;0;0;53;35;18;0.660377358490566;0;0;3;2;1;0.6666666666666666;0;0;1;0;1;0.0;0;0;Masculino;
Ricardo Martínez Sánchez;70;680;Raúl Marcos Durán;Revés;Yecla;24/06/1988;1,82;Barcelona;291;161;130;0.5532646048109966;7;12;4;8;0.3333333333333333;0;0;43;24;19;0.5581395348837209;0;0;58;39;19;0.6724137931034483;0;0;43;23;20;0.5348837209302325;0;0;38;20;18;0.5263157894736842;0;0;39;23;16;0.5897435897435898;0;0;27;15;12;0.5555555555555556;0;0;31;13;18;0.41935483870967744;0;0;Masculino;
Arturo Coello Manso;71;635;Iván Ramírez Del Campo;Drive;Valladolid;08/03/2002;1,90;Valladolid - España;72;39;33;0.5416666666666666;5;?;?;?;?;?;?;39;20;19;0.5128205128205128;0;0;30;18;12;0.6;0;0;3;1;2;0.3333333333333333;0;0;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;Masculino;
Miguel Ángel Solbes Llorens;72;631;José David Sánchez Serrano;Drive;Villajoyosa;16/03/1988;1,86;Villajoyosa;298;178;120;0.5973154362416108;5;13;6;7;0.46153846153846156;0;0;32;12;20;0.375;0;0;62;41;21;0.6612903225806451;0;0;63;42;21;0.6666666666666666;0;0;48;29;19;0.6041666666666666;0;0;45;29;16;0.6444444444444445;0;0;30;18;12;0.6;0;0;5;1;4;0.2;0;0;Masculino;
Miguel Yanguas Diez;73;607;Aris Patiniotis;Drive;Málaga;18/03/2002;1,89;Granada;99;62;37;0.6262626262626263;6;?;?;?;?;?;?;69;50;19;0.7246376811594203;0;0;26;11;15;0.4230769230769231;0;0;4;1;3;0.25;0;0;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;Masculino;
Mario Del Castillo Marín;74;606;Javier Pérez Morillas;Revés;Sevilla;20/12/1997;1,84;Sevilla;105;60;45;0.5714285714285714;5;?;?;?;?;?;?;43;25;18;0.5813953488372093;0;0;49;29;20;0.5918367346938775;0;0;4;2;2;0.5;0;0;8;4;4;0.5;0;0;1;0;1;0.0;0;0;?;?;?;?;?;?;?;?;?;?;?;?;Masculino;
Antón Sans Riola;75;587;Íñigo Zaratiegui Pedrosa;Drive;Tarragona;29/09/1995;1,88;Tarragona;168;97;71;0.5773809523809523;5;21;11;10;0.5238095238095238;0;0;50;31;19;0.62;0;0;49;29;20;0.5918367346938775;0;0;16;9;7;0.5625;0;0;14;8;6;0.5714285714285714;0;0;7;3;4;0.42857142857142855;0;0;11;6;5;0.5454545454545454;0;0;?;?;?;?;?;?;Masculino;
Íñigo Zaratiegui Pedrosa;76;574;Antón Sans Riola;Revés;Pamplona;26/07/1995;1,85;Pamplona;143;80;63;0.5594405594405595;5;21;11;10;0.5238095238095238;0;0;49;28;21;0.5714285714285714;0;0;41;26;15;0.6341463414634146;0;0;9;4;5;0.4444444444444444;0;0;11;6;5;0.5454545454545454;0;0;6;4;2;0.6666666666666666;0;0;3;1;2;0.3333333333333333;0;0;3;0;3;0.0;0;0;Masculino;
Raúl Marcos Durán;77;561;Ricardo Martínez Sánchez;Drive;Madrid;28/06/1992;1,82;Madrid;253;116;137;0.45849802371541504;5;11;4;7;0.36363636363636365;0;0;40;21;19;0.525;0;0;41;20;21;0.4878048780487805;0;0;28;6;22;0.21428571428571427;0;0;38;19;19;0.5;0;0;45;26;19;0.5777777777777777;0;0;22;8;14;0.36363636363636365;0;0;28;12;16;0.42857142857142855;0;0;Masculino;
Iván Ramírez Del Campo;78;551;Arturo Coello Manso;Revés;Madrid;14/11/2001;1,72;Madrid;118;69;49;0.5847457627118644;6;?;?;?;?;?;?;72;52;20;0.7222222222222222;0;0;31;12;19;0.3870967741935484;0;0;15;5;10;0.3333333333333333;0;0;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;Masculino;
Pedro Alonso-Martínez;79;506;Adrián Blanco Antelo;Drive;Madrid;25/03/1988;1,74;Madrid;222;90;132;0.40540540540540543;5;17;11;6;0.6470588235294118;0;0;30;9;21;0.3;0;0;25;6;19;0.24;0;0;36;15;21;0.4166666666666667;0;0;30;13;17;0.43333333333333335;0;1;30;11;19;0.36666666666666664;0;1;19;6;13;0.3157894736842105;0;0;35;19;16;0.5428571428571428;0;0;Masculino;
Antonio Luque Aragón;80;493;Jon Sanz Zalba;Revés;Jaén;09/09/1987;1,84;Madrid;304;171;133;0.5625;7;25;17;8;0.68;0;0;35;17;18;0.4857142857142857;0;0;61;40;21;0.6557377049180327;0;0;31;11;20;0.3548387096774194;0;0;52;32;20;0.6153846153846154;0;0;45;25;20;0.5555555555555556;0;0;29;16;13;0.5517241379310345;0;0;26;13;13;0.5;0;0;Masculino;
